"onBreak","seconds","endTime","startTime","activity","targetTotalHours","blockLenMinutes","breakLenMinutes","id"
false,3668,"2021-02-21T09:54:32.942Z","2021-02-21T08:53:13.101Z","AWS Notes","7","60","10","c661d0cc-cebe-4b40-89d9-48e9e446f29c"
true,553,"2021-02-21T10:03:48.372Z","2021-02-21T09:54:32.942Z","AWS Notes","7","60","10","c661d0cc-cebe-4b40-89d9-48e9e446f29c"
false,3604,"2021-02-21T11:04:04.576Z","2021-02-21T10:03:48.372Z","AWS Notes","7","60","10","c661d0cc-cebe-4b40-89d9-48e9e446f29c"
true,1412,"2021-02-21T11:27:44.790Z","2021-02-21T11:04:04.576Z","AWS Notes","7","60","10","c661d0cc-cebe-4b40-89d9-48e9e446f29c"
false,1659,"2021-02-21T11:55:30.511Z","2021-02-21T11:27:44.790Z","AWS Notes","7","60","10","c661d0cc-cebe-4b40-89d9-48e9e446f29c"
true,1876,"2021-02-21T12:26:54.493Z","2021-02-21T11:55:30.511Z","AWS Notes","7","60","10","c661d0cc-cebe-4b40-89d9-48e9e446f29c"
false,1891,"2021-02-21T12:58:31.640Z","2021-02-21T12:26:54.493Z","AWS Notes","7","60","10","c661d0cc-cebe-4b40-89d9-48e9e446f29c"
true,521,"2021-02-21T13:07:14.897Z","2021-02-21T12:58:31.640Z","AWS Notes","7","60","10","c661d0cc-cebe-4b40-89d9-48e9e446f29c"
false,3629,"2021-02-21T14:07:55.849Z","2021-02-21T13:07:14.897Z","AWS Notes","7","60","10","c661d0cc-cebe-4b40-89d9-48e9e446f29c"
true,587,"2021-02-21T14:17:45.052Z","2021-02-21T14:07:55.849Z","AWS Notes","7","60","10","c661d0cc-cebe-4b40-89d9-48e9e446f29c"
false,3606,"2021-02-21T15:18:02.195Z","2021-02-21T14:17:45.052Z","AWS Notes","7","60","10","c661d0cc-cebe-4b40-89d9-48e9e446f29c"
true,598,"2021-02-21T15:28:01.631Z","2021-02-21T15:18:02.195Z","AWS Notes","7","60","10","c661d0cc-cebe-4b40-89d9-48e9e446f29c"
false,3617,"2021-02-21T16:28:31.027Z","2021-02-21T15:28:01.631Z","AWS Notes","7","60","10","c661d0cc-cebe-4b40-89d9-48e9e446f29c"
true,6762,"2021-02-21T18:21:36.351Z","2021-02-21T16:28:31.027Z","AWS Notes","7","60","10","c661d0cc-cebe-4b40-89d9-48e9e446f29c"
false,3602,"2021-02-21T19:21:49.672Z","2021-02-21T18:21:36.351Z","AWS Notes","7","60","10","c661d0cc-cebe-4b40-89d9-48e9e446f29c"